,Pairs,source,target,Reaction
0,C00013_C00009,C00013,C00009,R00004
1,C00001_C00009,C00001,C00009,R00004
2,C01010_C00011,C01010,C00011,R00005
3,C01010_C00014,C01010,C00014,R00005
4,C00001_C00011,C00001,C00011,R00005
5,C00001_C00014,C00001,C00014,R00005
6,C00900_C00022,C00900,C00022,R00006
7,C00011_C00022,C00011,C00022,R00006
8,C06033_C00022,C06033,C00022,R00008
9,C00027_C00007,C00027,C00007,R00009
10,C00027_C00001,C00027,C00001,R00009
11,C01083_C00031,C01083,C00031,R00010
12,C00001_C00031,C00001,C00031,R00010
13,C19610_C19611,C19610,C19611,R00011
14,C19610_C00001,C19610,C00001,R00011
15,C00027_C19611,C00027,C19611,R00011
16,C00027_C00001,C00027,C00001,R00011
17,C00080_C19611,C00080,C19611,R00011
18,C00080_C00001,C00080,C00001,R00011
19,C00044_C00013,C00044,C00013,R00012
20,C00044_C01261,C00044,C01261,R00012
21,C00048_C01146,C00048,C01146,R00013
22,C00048_C00011,C00048,C00011,R00013
23,C00022_C05125,C00022,C05125,R00014
24,C00022_C00011,C00022,C00011,R00014
25,C00068_C05125,C00068,C05125,R00014
26,C00068_C00011,C00068,C00011,R00014
27,C00089_C00031,C00089,C00031,R00015
28,C00089_C03661,C00089,C03661,R00015
29,C00027_C00125,C00027,C00125,R00017
30,C00027_C00001,C00027,C00001,R00017
31,C00126_C00125,C00126,C00125,R00017
32,C00126_C00001,C00126,C00001,R00017
33,C00080_C00125,C00080,C00125,R00017
34,C00080_C00001,C00080,C00001,R00017
35,C00134_C06366,C00134,C06366,R00018
36,C00134_C00014,C00134,C00014,R00018
37,C00138_C00282,C00138,C00282,R00019
38,C00138_C00139,C00138,C00139,R00019
39,C00080_C00282,C00080,C00282,R00019
40,C00080_C00139,C00080,C00139,R00019
41,C00025_C00064,C00025,C00064,R00021
42,C00025_C00026,C00025,C00026,R00021
43,C00025_C00138,C00025,C00138,R00021
44,C00025_C00080,C00025,C00080,R00021
45,C00139_C00064,C00139,C00064,R00021
46,C00139_C00026,C00139,C00026,R00021
47,C00139_C00138,C00139,C00138,R00021
48,C00139_C00080,C00139,C00080,R00021
49,C01674_C00140,C01674,C00140,R00022
50,C00001_C00140,C00001,C00140,R00022
51,C00192_C01818,C00192,C01818,R00023
52,C00192_C00004,C00192,C00004,R00023
53,C00192_C00080,C00192,C00080,R00023
54,C00003_C01818,C00003,C01818,R00023
55,C00003_C00004,C00003,C00004,R00023
56,C00003_C00080,C00003,C00080,R00023
57,C01182_C00197,C01182,C00197,R00024
58,C00011_C00197,C00011,C00197,R00024
59,C00001_C00197,C00001,C00197,R00024
60,C18091_C00084,C18091,C00084,R00025
61,C18091_C00088,C18091,C00088,R00025
62,C18091_C00061,C18091,C00061,R00025
63,C18091_C00001,C18091,C00001,R00025
64,C00007_C00084,C00007,C00084,R00025
65,C00007_C00088,C00007,C00088,R00025
66,C00007_C00061,C00007,C00061,R00025
67,C00007_C00001,C00007,C00001,R00025
68,C01847_C00084,C01847,C00084,R00025
69,C01847_C00088,C01847,C00088,R00025
70,C01847_C00061,C01847,C00061,R00025
71,C01847_C00001,C01847,C00001,R00025
72,C00080_C00084,C00080,C00084,R00025
73,C00080_C00088,C00080,C00088,R00025
74,C00080_C00061,C00080,C00061,R00025
75,C00080_C00001,C00080,C00001,R00025
76,C00185_C00221,C00185,C00221,R00026
77,C00001_C00221,C00001,C00221,R00026
78,C01408_C00261,C01408,C00261,R00027
79,C00208_C00031,C00208,C00031,R00028
80,C00001_C00031,C00001,C00031,R00028
81,C00320_C02084,C00320,C02084,R00029
82,C00320_C00126,C00320,C00126,R00029
83,C00125_C02084,C00125,C02084,R00029
84,C00125_C00126,C00125,C00126,R00029
85,C00007_C00355,C00007,C00355,R00031
86,C00082_C00355,C00082,C00355,R00031
87,C02094_C00376,C02094,C00376,R00032
88,C00007_C00376,C00007,C00376,R00032
89,C00378_C00027,C00378,C00027,R00033
90,C00378_C05856,C00378,C05856,R00033
91,C00007_C00027,C00007,C00027,R00033
92,C00007_C05856,C00007,C05856,R00033
93,C00430_C00931,C00430,C00931,R00036
94,C00430_C00001,C00430,C00001,R00036
95,C00479_C02948,C00479,C02948,R00038
96,C00492_C08242,C00492,C08242,R00039
97,C00492_C00089,C00492,C00089,R00039
98,C00339_C00609,C00339,C00609,R00041
99,C00339_C00001,C00339,C00001,R00041
100,C00007_C00609,C00007,C00609,R00041
101,C00007_C00001,C00007,C00001,R00041
102,C01179_C00642,C01179,C00642,R00042
103,C01179_C00011,C01179,C00011,R00042
104,C00007_C00642,C00007,C00642,R00042
105,C00007_C00011,C00007,C00011,R00042
106,C04547_C00755,C04547,C00755,R00043
107,C00007_C00755,C00007,C00755,R00043
108,C01795_C00757,C01795,C00757,R00044
109,C01795_C00001,C01795,C00001,R00044
110,C00007_C00757,C00007,C00757,R00044
111,C00007_C00001,C00007,C00001,R00044
112,C00007_C00822,C00007,C00822,R00045
113,C00007_C00001,C00007,C00001,R00045
114,C00355_C00822,C00355,C00822,R00045
115,C00355_C00001,C00355,C00001,R00045
116,C00007_C01059,C00007,C01059,R00047
117,C00007_C00011,C00007,C00011,R00047
118,C00007_C00028,C00007,C00028,R00047
119,C00007_C00001,C00007,C00001,R00047
120,C01020_C01059,C01020,C01059,R00047
121,C01020_C00011,C01020,C00011,R00047
122,C01020_C00028,C01020,C00028,R00047
123,C01020_C00001,C01020,C00001,R00047
124,C00030_C01059,C00030,C01059,R00047
125,C00030_C00011,C00030,C00011,R00047
126,C00030_C00028,C00030,C00028,R00047
127,C00030_C00001,C00030,C00001,R00047
128,C04546_C01089,C04546,C01089,R00048
129,C00001_C01089,C00001,C01089,R00048
130,C01158_C00031,C01158,C00031,R00049
131,C01158_C04101,C01158,C04101,R00049
132,C00027_C01334,C00027,C01334,R00052
133,C00027_C00001,C00027,C00001,R00052
134,C01371_C01334,C01371,C01334,R00052
135,C01371_C00001,C01371,C00001,R00052
136,C01327_C01334,C01327,C01334,R00052
137,C01327_C00001,C01327,C00001,R00052
138,C01572_C01424,C01572,C01424,R00053
139,C00001_C01424,C00001,C01424,R00053
140,C02868_C01839,C02868,C01839,R00054
141,C00001_C01839,C00001,C01839,R00054
142,C00294_C01993,C00294,C01993,R00055
143,C00294_C00001,C00294,C00001,R00055
144,C00007_C01993,C00007,C01993,R00055
145,C00007_C00001,C00007,C00001,R00055
146,C01910_C02171,C01910,C02171,R00056
147,C00001_C02171,C00001,C02171,R00056
148,C00007_C02318,C00007,C02318,R00057
149,C00007_C00027,C00007,C00027,R00057
150,C01525_C02318,C01525,C02318,R00057
151,C01525_C00027,C01525,C00027,R00057
152,C00007_C02351,C00007,C02351,R00058
153,C00007_C00001,C00007,C00001,R00058
154,C00090_C02351,C00090,C02351,R00058
155,C00090_C00001,C00090,C00001,R00058
156,C01255_C02378,C01255,C02378,R00059
157,C00001_C02378,C00001,C02378,R00059
158,C00007_C03036,C00007,C03036,R00060
159,C00007_C00001,C00007,C00001,R00060
160,C00495_C03036,C00495,C03036,R00060
161,C00495_C00001,C00495,C00001,R00060
162,C00007_C03040,C00007,C03040,R00061
163,C00007_C00001,C00007,C00001,R00061
164,C00495_C03040,C00495,C03040,R00061
165,C00495_C00001,C00495,C00001,R00061
166,C03374_C00486,C03374,C00486,R00062
167,C03374_C05787,C03374,C05787,R00062
168,C01175_C04275,C01175,C04275,R00063
169,C01175_C00031,C01175,C00031,R00063
170,C04332_C00255,C04332,C00255,R00066
171,C04332_C04732,C04332,C04732,R00066
172,C00007_C05422,C00007,C05422,R00068
173,C00007_C00001,C00007,C00001,R00068
174,C00072_C05422,C00072,C05422,R00068
175,C00072_C00001,C00072,C00001,R00068
176,C05565_C03680,C05565,C03680,R00069
177,C05565_C00007,C05565,C00007,R00069
178,C05565_C00001,C05565,C00001,R00069
179,C00027_C03680,C00027,C03680,R00069
180,C00027_C00007,C00027,C00007,R00069
181,C00027_C00001,C00027,C00001,R00069
182,C05791_C05795,C05791,C05795,R00070
183,C05791_C00001,C05791,C00001,R00070
184,C00007_C05795,C00007,C05795,R00070
185,C00007_C00001,C00007,C00001,R00070
186,C05856_C00027,C05856,C00027,R00072
187,C05856_C02892,C05856,C02892,R00072
188,C00007_C00027,C00007,C00027,R00072
