Entry,Name,Formula,Exact mass,Mol weight,Structure Url,Canonical SMILES,AddHs SMILES,Reaction Number,Pathway Number,Module Number,Enzyme Class Number,PubChem Id,ChEBI Id,Reference,Family
C00006,NADP+,,,,,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,,1057,,,,3308,"[""18009""]","""""",Double
C00005,NADPH,,,,,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,,1055,,,,3307,"[""16474""]","""""",Double
C00003,NAD+,,,,,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,,997,,,,3305,"[""15846""]","""""",Double
C00004,NADH,,,,,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,,981,,,,3306,"[""16908""]","""""",Double
C00019,S-Adenosyl-L-methionine,,,,,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,,503,,,,3321,"[""15414"", ""67040""]","""""",Double
C00021,S-Adenosyl-L-homocysteine,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,,445,,,,3323,"[""16680""]","""""",Double
C03024,[Reduced NADPH---hemoprotein reductase],,,,,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1[nH]c(=O)[nH]c(=O)c1N2,,378,,,,5930,[],"""""",Double
C03161,[Oxidized NADPH---hemoprotein reductase],,,,,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,,378,,,,6046,[],"""""",Double
C00028,Acceptor,,,,,*CC,,247,,,,3330,"[""15339""]","""""",Double
C00030,Reduced acceptor,,,,,[H]*([H])CC,,247,,,,3332,"[""17499""]","""""",Double
C00138,Reduced ferredoxin,,,,,S1[Fe]S[Fe+]1,,136,,,,3438,"[""17513""]","""""",Double
C00139,Oxidized ferredoxin,,,,,S1[Fe+]S[Fe+]1,,136,,,,3439,"[""17908""]","""""",Double
C00016,FAD,,,,,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,,82,,,,3318,"[""16238""]","""""",Double
C01352,FADH2,,,,,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2,,78,,,,4556,"[""17877""]","""""",Double
C00996,Ferricytochrome b5,,,,,[Fe+3],,63,,,,4242,"[""18097""]","""""",Double
C00999,Ferrocytochrome b5,,,,,[Fe+2],,63,,,,4245,[],"""""",Double
C00054,"Adenosine 3',5'-bisphosphate",,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,,65,,,,3356,"[""17985""]","""""",Double
C00053,3'-Phosphoadenylyl sulfate,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O,,63,,,,3355,"[""17980""]","""""",Double
