,Pairs,source,target,Reaction,RPAIR_main
0,C00009_C00013,C00013,C00009,R00004,0
1,C00001_C00009,C00001,C00009,R00004,0
2,C00011_C01010,C01010,C00011,R00005,2
3,C00014_C01010,C01010,C00014,R00005,2
4,C00001_C00011,C00001,C00011,R00005,0
5,C00001_C00014,C00001,C00014,R00005,2
6,C00022_C00900,C00900,C00022,R00006,1
7,C00011_C00022,C00011,C00022,R00006,0
8,C00022_C06033,C06033,C00022,R00008,1
9,C00007_C00027,C00027,C00007,R00009,1
10,C00001_C00027,C00027,C00001,R00009,0
11,C00031_C01083,C01083,C00031,R00010,2
12,C00001_C00031,C00001,C00031,R00010,0
13,C19610_C19611,C19610,C19611,R00011,2
14,C00001_C19610,C19610,C00001,R00011,2
15,C00027_C19611,C00027,C19611,R00011,2
16,C00001_C00027,C00027,C00001,R00011,0
17,C00080_C19611,C00080,C19611,R00011,2
18,C00001_C00080,C00080,C00001,R00011,2
19,C00013_C00044,C00044,C00013,R00012,0
20,C00044_C01261,C00044,C01261,R00012,1
21,C00048_C01146,C00048,C01146,R00013,1
22,C00011_C00048,C00048,C00011,R00013,0
23,C00022_C05125,C00022,C05125,R00014,1
24,C00011_C00022,C00022,C00011,R00014,0
25,C00068_C05125,C00068,C05125,R00014,1
26,C00011_C00068,C00068,C00011,R00014,2
27,C00031_C00089,C00089,C00031,R00015,2
28,C00089_C03661,C00089,C03661,R00015,1
29,C00027_C00125,C00027,C00125,R00017,2
30,C00001_C00027,C00027,C00001,R00017,0
31,C00125_C00126,C00126,C00125,R00017,2
32,C00001_C00126,C00126,C00001,R00017,2
33,C00080_C00125,C00080,C00125,R00017,2
34,C00001_C00080,C00080,C00001,R00017,2
35,C00134_C06366,C00134,C06366,R00018,2
36,C00014_C00134,C00134,C00014,R00018,0
37,C00138_C00282,C00138,C00282,R00019,2
38,C00138_C00139,C00138,C00139,R00019,2
39,C00080_C00282,C00080,C00282,R00019,2
40,C00080_C00139,C00080,C00139,R00019,2
41,C00025_C00064,C00025,C00064,R00021,1
42,C00025_C00026,C00025,C00026,R00021,1
43,C00025_C00138,C00025,C00138,R00021,2
44,C00025_C00080,C00025,C00080,R00021,2
45,C00064_C00139,C00139,C00064,R00021,2
46,C00026_C00139,C00139,C00026,R00021,2
47,C00138_C00139,C00139,C00138,R00021,2
48,C00080_C00139,C00139,C00080,R00021,2
49,C00140_C01674,C01674,C00140,R00022,2
50,C00001_C00140,C00001,C00140,R00022,2
51,C00192_C01818,C00192,C01818,R00023,2
52,C00004_C00192,C00192,C00004,R00023,2
53,C00080_C00192,C00192,C00080,R00023,2
54,C00003_C01818,C00003,C01818,R00023,2
55,C00003_C00004,C00003,C00004,R00023,1
56,C00003_C00080,C00003,C00080,R00023,2
57,C00197_C01182,C01182,C00197,R00024,2
58,C00011_C00197,C00011,C00197,R00024,2
59,C00001_C00197,C00001,C00197,R00024,0
60,C00084_C18091,C18091,C00084,R00025,2
61,C00088_C18091,C18091,C00088,R00025,2
62,C00061_C18091,C18091,C00061,R00025,2
63,C00001_C18091,C18091,C00001,R00025,2
64,C00007_C00084,C00007,C00084,R00025,2
65,C00007_C00088,C00007,C00088,R00025,2
66,C00007_C00061,C00007,C00061,R00025,2
67,C00001_C00007,C00007,C00001,R00025,0
68,C00084_C01847,C01847,C00084,R00025,2
69,C00088_C01847,C01847,C00088,R00025,2
70,C00061_C01847,C01847,C00061,R00025,1
71,C00001_C01847,C01847,C00001,R00025,2
72,C00080_C00084,C00080,C00084,R00025,2
73,C00080_C00088,C00080,C00088,R00025,2
74,C00061_C00080,C00080,C00061,R00025,2
75,C00001_C00080,C00080,C00001,R00025,2
76,C00185_C00221,C00185,C00221,R00026,2
77,C00001_C00221,C00001,C00221,R00026,2
78,C00261_C01408,C01408,C00261,R00027,2
79,C00031_C00208,C00208,C00031,R00028,2
80,C00001_C00031,C00001,C00031,R00028,0
81,C00320_C02084,C00320,C02084,R00029,1
82,C00126_C00320,C00320,C00126,R00029,2
83,C00125_C02084,C00125,C02084,R00029,2
84,C00125_C00126,C00125,C00126,R00029,2
85,C00007_C00355,C00007,C00355,R00031,0
86,C00082_C00355,C00082,C00355,R00031,1
87,C00376_C02094,C02094,C00376,R00032,1
88,C00007_C00376,C00007,C00376,R00032,0
89,C00027_C00378,C00378,C00027,R00033,2
90,C00378_C05856,C00378,C05856,R00033,1
91,C00007_C00027,C00007,C00027,R00033,1
92,C00007_C05856,C00007,C05856,R00033,2
93,C00430_C00931,C00430,C00931,R00036,1
94,C00001_C00430,C00430,C00001,R00036,0
95,C00479_C02948,C00479,C02948,R00038,1
96,C00492_C08242,C00492,C08242,R00039,1
97,C00089_C00492,C00492,C00089,R00039,1
98,C00339_C00609,C00339,C00609,R00041,2
99,C00001_C00339,C00339,C00001,R00041,2
100,C00007_C00609,C00007,C00609,R00041,2
101,C00001_C00007,C00007,C00001,R00041,0
102,C00642_C01179,C01179,C00642,R00042,1
103,C00011_C01179,C01179,C00011,R00042,0
104,C00007_C00642,C00007,C00642,R00042,0
105,C00007_C00011,C00007,C00011,R00042,0
106,C00755_C04547,C04547,C00755,R00043,1
107,C00007_C00755,C00007,C00755,R00043,0
108,C00757_C01795,C01795,C00757,R00044,2
109,C00001_C01795,C01795,C00001,R00044,2
110,C00007_C00757,C00007,C00757,R00044,2
111,C00001_C00007,C00007,C00001,R00044,0
112,C00007_C00822,C00007,C00822,R00045,2
113,C00001_C00007,C00007,C00001,R00045,0
114,C00355_C00822,C00355,C00822,R00045,1
115,C00001_C00355,C00355,C00001,R00045,2
116,C00007_C01059,C00007,C01059,R00047,0
117,C00007_C00011,C00007,C00011,R00047,0
118,C00007_C00028,C00007,C00028,R00047,2
119,C00001_C00007,C00007,C00001,R00047,0
120,C01020_C01059,C01020,C01059,R00047,1
121,C00011_C01020,C01020,C00011,R00047,0
122,C00028_C01020,C01020,C00028,R00047,2
123,C00001_C01020,C01020,C00001,R00047,2
124,C00030_C01059,C00030,C01059,R00047,2
125,C00011_C00030,C00030,C00011,R00047,2
126,C00028_C00030,C00030,C00028,R00047,2
127,C00001_C00030,C00030,C00001,R00047,2
128,C01089_C04546,C04546,C01089,R00048,1
129,C00001_C01089,C00001,C01089,R00048,2
130,C00031_C01158,C01158,C00031,R00049,2
131,C01158_C04101,C01158,C04101,R00049,1
132,C00027_C01334,C00027,C01334,R00052,2
133,C00001_C00027,C00027,C00001,R00052,0
134,C01334_C01371,C01371,C01334,R00052,1
135,C00001_C01371,C01371,C00001,R00052,2
136,C01327_C01334,C01327,C01334,R00052,2
137,C00001_C01327,C01327,C00001,R00052,2
138,C01424_C01572,C01572,C01424,R00053,1
139,C00001_C01424,C00001,C01424,R00053,0
140,C01839_C02868,C02868,C01839,R00054,1
141,C00001_C01839,C00001,C01839,R00054,0
142,C00294_C01993,C00294,C01993,R00055,2
143,C00001_C00294,C00294,C00001,R00055,0
144,C00007_C01993,C00007,C01993,R00055,2
